post_id,sender_id,receiver_id,content,post_type,visibility,post_date,post_time
1,131,20,adapter,Story,true,2023-08-11,5:32
2,92,849,Diverse,Message,false,2023-04-02,5:42
3,598,439,flexibility,Story,true,2023-03-10,19:06
4,354,77,neural-net,Story,true,2023-12-21,18:46
5,157,205,User-friendly,Story,false,2023-01-02,4:16
6,66,623,dedicated,Story,true,2023-06-04,21:35
7,425,868,Innovative,Story,true,2023-07-02,14:04
8,591,601,policy,Story,false,2023-10-01,5:25
9,585,395,Vision-oriented,Message,true,2023-01-21,14:33
10,711,173,encompassing,Message,false,2023-10-29,4:02
11,869,180,superstructure,Message,true,2024-02-15,5:07
12,144,822,even-keeled,Story,false,2023-05-19,16:34
13,199,758,conglomeration,Message,false,2023-12-20,0:18
14,309,648,full-range,Story,false,2023-04-12,0:00
15,138,819,User-centric,Message,false,2023-11-28,13:42
16,339,499,encryption,Story,false,2023-10-20,12:40
17,29,815,scalable,Story,true,2023-04-06,22:04
18,921,724,Reduced,Story,false,2023-01-03,11:51
19,412,432,Public-key,Story,true,2023-03-17,0:44
20,977,283,Re-engineered,Story,false,2023-02-11,20:29
21,443,422,disintermediate,Message,false,2023-08-30,13:52
22,577,735,Reactive,Message,true,2023-07-05,12:00
23,134,67,optimizing,Message,false,2023-08-08,11:32
24,271,292,Team-oriented,Message,true,2023-04-07,22:40
25,784,601,software,Message,true,2023-01-25,14:25
26,821,927,Profound,Story,true,2024-01-13,22:40
27,313,850,open system,Story,true,2023-03-24,21:53
28,185,686,logistical,Story,true,2023-05-05,11:24
29,73,433,focus group,Story,false,2023-05-12,18:40
30,582,315,Compatible,Message,false,2024-02-15,4:05
31,87,505,Balanced,Message,false,2023-01-23,13:17
32,96,113,installation,Message,false,2023-09-14,18:42
33,254,818,matrix,Story,true,2023-08-16,1:51
34,269,566,3rd generation,Story,true,2023-11-11,14:48
35,774,224,middleware,Message,true,2024-02-09,8:02
36,491,407,maximized,Story,true,2024-01-23,17:09
37,272,262,internet solution,Message,false,2023-11-17,18:45
38,666,550,homogeneous,Message,false,2023-02-12,0:31
39,760,97,stable,Message,true,2023-08-09,14:30
40,349,665,empowering,Message,false,2024-02-02,11:36
41,977,182,hybrid,Story,true,2023-09-13,16:29
42,706,732,Re-contextualized,Story,false,2023-05-14,7:32
43,38,519,bottom-line,Message,true,2023-03-19,17:17
44,285,819,product,Story,false,2023-12-29,16:11
45,523,274,Customer-focused,Message,true,2023-07-29,11:03
46,702,659,benchmark,Story,false,2023-06-05,16:35
47,465,827,Extended,Message,false,2023-03-01,4:47
48,147,189,background,Story,true,2024-01-15,11:06
49,650,13,mission-critical,Story,true,2023-01-03,2:59
50,979,562,methodical,Story,false,2023-02-03,14:10
51,46,216,non-volatile,Message,true,2023-04-08,22:43
52,500,969,Grass-roots,Story,true,2023-02-09,15:38
53,121,552,Focused,Message,true,2023-03-15,1:03
54,854,958,database,Story,false,2023-08-18,0:53
55,361,940,Synergistic,Story,true,2023-12-13,13:18
56,368,231,alliance,Story,true,2023-01-30,3:32
57,422,288,extranet,Story,true,2023-10-06,2:10
58,17,112,disintermediate,Story,true,2023-02-05,9:32
59,950,800,support,Message,true,2023-08-31,6:30
60,970,832,intangible,Message,true,2023-01-12,3:58
61,219,865,full-range,Story,false,2023-12-11,13:19
62,417,722,Multi-lateral,Story,true,2024-01-05,2:23
63,810,731,monitoring,Message,true,2023-11-08,20:04
64,757,21,Cross-group,Story,false,2024-01-10,19:31
65,546,207,upward-trending,Message,true,2023-07-06,1:41
66,288,876,Inverse,Story,true,2023-12-05,17:04
67,554,693,Down-sized,Story,true,2023-08-31,0:55
68,603,246,Triple-buffered,Message,true,2024-02-23,4:52
69,963,390,hardware,Message,true,2023-12-19,13:15
70,799,476,non-volatile,Message,false,2023-10-31,10:47
71,29,927,Distributed,Story,false,2023-05-10,5:36
72,499,804,Enterprise-wide,Story,false,2023-03-08,12:04
73,160,609,access,Message,false,2023-12-12,6:26
74,9,496,Focused,Story,true,2023-10-10,14:49
75,123,905,exuding,Story,false,2023-12-13,12:32
76,279,604,national,Story,true,2023-05-16,20:32
77,827,422,tangible,Story,true,2023-10-02,8:14
78,946,131,focus group,Story,false,2023-08-31,15:33
79,416,28,hub,Message,true,2023-12-20,0:19
80,93,795,context-sensitive,Story,false,2023-02-03,18:20
81,887,165,definition,Story,false,2024-01-21,23:32
82,881,373,Face to face,Message,true,2023-11-13,20:14
83,47,280,Profit-focused,Story,false,2023-01-04,16:20
84,532,95,upward-trending,Story,true,2023-08-10,2:18
85,966,415,upward-trending,Story,false,2023-11-21,7:41
86,812,134,zero defect,Story,false,2023-05-22,7:14
87,383,339,solution-oriented,Story,false,2023-05-02,5:30
88,901,131,support,Message,false,2023-07-04,8:37
89,585,973,Monitored,Message,false,2023-01-10,3:05
90,242,255,next generation,Story,true,2023-11-11,8:09
91,929,52,help-desk,Story,true,2023-07-21,22:00
92,980,580,motivating,Story,false,2023-06-11,22:30
93,580,185,Upgradable,Story,false,2023-03-26,7:57
94,310,785,Cross-platform,Message,true,2023-07-02,13:21
95,693,18,encompassing,Message,true,2023-11-21,23:43
96,370,355,hub,Story,false,2023-12-13,17:58
97,432,494,neutral,Message,false,2023-07-22,16:29
98,868,79,groupware,Story,true,2023-02-18,17:47
99,444,927,synergy,Story,true,2023-05-09,22:01
100,150,123,background,Message,false,2023-12-06,18:44
101,760,185,interactive,Message,true,2023-03-23,17:55
102,154,735,Inverse,Story,true,2023-03-07,14:06
103,823,955,Mandatory,Story,false,2023-03-15,15:48
104,940,625,attitude,Message,false,2023-12-10,22:30
105,274,414,standardization,Message,true,2023-09-28,21:39
106,583,952,Multi-channelled,Message,true,2023-03-31,2:01
107,706,966,stable,Story,true,2023-11-08,1:48
108,933,634,Horizontal,Story,true,2024-01-08,22:20
109,169,526,Networked,Story,true,2024-02-10,1:19
110,256,178,transitional,Message,true,2023-09-10,19:11
111,390,181,Organic,Message,false,2023-10-31,16:08
112,922,205,groupware,Story,true,2023-04-15,22:15
113,3,146,transitional,Story,false,2023-10-07,17:53
114,253,642,data-warehouse,Story,true,2023-01-31,3:53
115,600,964,holistic,Story,false,2023-07-12,12:57
116,334,233,eco-centric,Story,false,2023-06-15,1:48
117,688,437,process improvement,Story,true,2023-02-11,2:10
118,777,937,fault-tolerant,Message,false,2023-03-01,2:59
119,253,375,attitude-oriented,Story,true,2023-12-10,12:31
120,703,41,Visionary,Message,false,2023-06-15,0:07
121,693,134,holistic,Message,true,2023-11-12,20:40
122,283,921,leading edge,Story,false,2023-04-17,0:47
123,764,758,Decentralized,Story,true,2023-04-22,9:43
124,956,697,algorithm,Story,false,2023-07-03,21:27
125,146,681,Multi-layered,Story,true,2023-04-11,8:12
126,388,306,Operative,Story,false,2023-02-22,21:48
127,525,486,Devolved,Message,false,2023-09-23,8:24
128,58,44,analyzing,Message,false,2023-02-04,8:10
129,198,772,multi-tasking,Message,true,2023-03-15,8:48
130,125,8,foreground,Story,true,2023-08-14,15:54
131,808,73,Diverse,Message,true,2023-06-30,23:15
132,291,304,conglomeration,Message,true,2024-02-10,9:55
133,166,527,well-modulated,Message,false,2023-07-26,9:21
134,954,412,customer loyalty,Story,false,2024-02-03,16:19
135,886,20,even-keeled,Message,false,2023-01-13,14:56
136,727,882,Proactive,Story,true,2023-08-12,17:34
137,936,725,Reduced,Story,true,2023-03-06,21:56
138,676,724,complexity,Message,true,2023-03-28,8:54
139,968,26,support,Message,false,2023-08-14,17:16
140,727,424,Programmable,Story,true,2023-07-07,20:43
141,807,883,Sharable,Story,false,2023-01-03,5:03
142,834,979,incremental,Story,true,2023-02-03,6:25
143,788,50,infrastructure,Message,false,2023-02-01,10:41
144,602,324,Decentralized,Story,true,2023-10-09,8:38
145,995,732,Graphical User Interface,Message,false,2023-12-10,5:31
146,911,761,Re-contextualized,Message,false,2023-11-15,12:38
147,260,791,Persevering,Story,false,2023-07-08,10:37
148,895,123,next generation,Story,true,2023-05-17,1:29
149,69,489,asymmetric,Story,false,2024-02-03,20:18
150,671,796,Operative,Story,false,2024-02-21,21:35
151,317,827,Switchable,Story,false,2024-01-17,17:59
152,703,49,Adaptive,Story,false,2023-06-17,1:42
153,837,903,web-enabled,Message,false,2023-12-06,19:23
154,176,575,Programmable,Story,false,2023-11-27,18:06
155,240,176,throughput,Story,false,2023-03-09,0:58
156,167,746,leverage,Message,false,2024-02-22,13:24
157,442,64,Graphic Interface,Story,true,2024-02-05,5:05
158,730,415,protocol,Message,true,2023-08-24,8:26
159,409,438,Persevering,Story,false,2023-02-09,7:04
160,661,142,Expanded,Message,true,2023-05-03,23:15
161,39,925,portal,Message,false,2023-04-03,15:27
162,194,316,Optional,Story,true,2023-06-20,9:27
163,998,920,asynchronous,Story,false,2023-03-12,8:04
164,254,875,collaboration,Message,false,2024-02-16,0:10
165,998,862,Upgradable,Story,true,2023-05-03,22:53
166,931,966,throughput,Message,false,2023-02-20,9:54
167,219,126,Cross-platform,Message,true,2023-07-06,17:34
168,539,627,global,Message,true,2023-07-16,14:46
169,925,965,Graphical User Interface,Story,false,2024-01-19,8:44
170,288,744,needs-based,Message,true,2023-01-24,4:15
171,933,96,knowledge base,Message,false,2023-05-27,0:04
172,717,794,service-desk,Message,true,2023-08-07,3:14
173,100,166,Organic,Story,true,2023-12-31,12:07
174,736,810,Versatile,Story,true,2023-05-22,0:52
175,805,999,Progressive,Story,true,2023-07-05,3:16
176,721,992,Face to face,Story,true,2024-01-06,8:48
177,975,422,attitude-oriented,Story,true,2023-02-27,20:03
178,228,257,Synergistic,Message,true,2023-03-02,7:50
179,196,364,functionalities,Message,true,2023-06-07,19:39
180,6,508,architecture,Message,true,2023-02-04,10:39
181,536,664,Universal,Story,true,2023-10-21,6:14
182,555,695,incremental,Story,false,2023-11-11,16:47
183,15,722,Optimized,Story,true,2023-07-13,6:17
184,610,979,Switchable,Story,true,2023-04-26,8:42
185,800,418,data-warehouse,Message,true,2023-02-20,17:38
186,333,401,capability,Story,false,2023-08-23,13:42
187,867,710,holistic,Story,true,2023-09-05,6:12
188,984,986,policy,Story,true,2023-04-15,2:46
189,287,584,background,Story,false,2024-02-14,8:13
190,864,416,homogeneous,Story,false,2023-07-19,4:55
191,533,917,Centralized,Story,true,2023-10-08,13:13
192,76,623,didactic,Story,false,2023-09-25,10:08
193,482,827,didactic,Story,false,2023-07-08,13:29
194,831,672,conglomeration,Story,true,2023-08-27,1:44
195,685,403,hybrid,Story,true,2024-02-18,17:03
196,981,981,3rd generation,Message,true,2023-06-18,13:07
197,346,863,analyzing,Message,false,2023-01-01,23:32
198,491,108,Synergistic,Message,true,2023-10-11,23:10
199,797,41,leverage,Story,true,2023-12-04,2:26
200,606,492,leverage,Story,true,2023-05-04,5:10
201,66,714,Profit-focused,Story,false,2023-12-07,11:13
202,847,869,secondary,Message,false,2023-11-19,12:24
203,413,968,Multi-lateral,Message,false,2023-12-16,16:53
204,943,915,Monitored,Story,true,2023-11-25,22:59
205,945,364,user-facing,Story,false,2023-11-25,3:00
206,172,571,attitude-oriented,Message,true,2023-02-17,15:10
207,834,744,Automated,Message,true,2023-11-18,16:14
208,663,926,Operative,Message,true,2024-01-11,3:44
209,794,40,Decentralized,Message,false,2023-01-23,10:57
210,244,437,Face to face,Story,true,2023-04-16,6:48
211,895,487,non-volatile,Message,false,2023-07-27,22:16
212,225,356,directional,Message,true,2024-02-03,11:59
213,175,855,analyzer,Message,false,2023-12-22,14:07
214,895,353,grid-enabled,Message,false,2024-01-14,15:07
215,599,419,static,Message,true,2023-12-22,22:54
216,353,720,attitude,Message,true,2023-10-01,10:19
217,857,793,emulation,Story,true,2023-06-09,11:14
218,691,828,3rd generation,Message,false,2023-07-15,5:33
219,37,814,client-driven,Story,false,2023-08-03,14:18
220,440,731,standardization,Message,false,2023-08-24,5:49
221,767,840,didactic,Story,false,2024-02-04,18:39
222,568,481,encompassing,Message,false,2023-12-03,12:40
223,292,967,concept,Message,true,2023-05-02,10:20
224,41,509,open architecture,Story,true,2023-11-24,11:16
225,916,930,support,Story,false,2023-07-12,2:32
226,250,368,Open-source,Message,false,2023-03-27,14:26
227,888,772,hybrid,Message,false,2023-06-10,5:34
228,855,687,Configurable,Story,true,2023-05-28,4:10
229,722,843,policy,Story,false,2023-10-13,22:55
230,352,771,Multi-lateral,Story,false,2023-08-03,7:56
231,613,769,Secured,Story,true,2023-07-14,5:01
232,439,656,software,Story,true,2023-07-17,22:40
233,891,552,tangible,Story,false,2023-06-08,3:34
234,920,89,Switchable,Story,true,2023-09-16,3:26
235,476,597,groupware,Story,true,2023-11-22,18:54
236,69,570,forecast,Message,true,2023-11-23,15:45
237,40,216,mission-critical,Story,false,2023-12-23,6:52
238,603,768,actuating,Message,true,2023-07-12,2:39
239,617,274,encryption,Story,false,2023-03-31,19:24
240,752,978,Profit-focused,Story,true,2023-09-07,21:47
241,902,665,ability,Message,false,2023-02-12,22:39
242,391,850,Persevering,Story,false,2024-01-18,18:41
243,406,227,optimizing,Story,true,2023-07-16,6:55
244,411,469,Innovative,Story,true,2023-07-04,4:55
245,286,26,foreground,Message,true,2024-01-26,2:07
246,136,948,Stand-alone,Message,false,2023-07-06,5:36
247,292,534,clear-thinking,Message,true,2023-01-14,7:42
248,580,314,high-level,Story,false,2024-01-06,9:46
249,743,499,directional,Story,true,2023-12-28,10:09
250,741,802,system engine,Story,true,2023-09-06,4:29
251,444,617,infrastructure,Message,true,2023-01-09,6:37
252,714,888,6th generation,Message,false,2024-02-06,2:57
253,128,19,Right-sized,Story,true,2023-02-09,7:42
254,545,316,flexibility,Message,false,2023-10-12,12:30
255,171,694,Cross-platform,Story,true,2023-04-04,4:54
256,138,787,analyzer,Message,false,2023-10-11,3:52
257,266,53,Phased,Story,true,2023-10-03,0:53
258,379,824,zero defect,Message,false,2023-09-02,3:51
259,862,251,uniform,Story,true,2023-08-10,16:02
260,246,224,Down-sized,Story,false,2023-10-04,12:35
261,631,365,composite,Message,true,2023-03-09,7:32
262,298,54,website,Message,false,2023-03-17,10:13
263,624,862,system engine,Story,true,2023-09-10,2:21
264,752,279,extranet,Story,true,2024-02-24,2:12
265,919,972,Vision-oriented,Message,false,2024-02-12,23:32
266,740,62,complexity,Story,false,2024-02-05,17:18
267,925,49,Secured,Story,false,2023-11-09,4:27
268,546,825,Managed,Message,false,2024-01-08,21:24
269,731,149,Sharable,Story,false,2023-03-26,23:13
270,698,450,Automated,Message,false,2024-01-04,14:23
271,574,582,neutral,Story,false,2023-04-23,4:08
272,956,680,firmware,Message,true,2023-11-16,23:06
273,556,495,Virtual,Story,false,2023-01-20,8:41
274,59,646,systemic,Story,true,2023-02-09,13:15
275,932,828,Digitized,Story,true,2023-09-30,18:41
276,330,446,Profit-focused,Message,false,2023-10-09,14:50
277,548,878,stable,Story,true,2023-07-07,6:47
278,439,944,success,Story,true,2023-12-03,12:40
279,714,861,Assimilated,Story,true,2023-06-14,20:07
280,847,314,Cloned,Story,false,2023-04-17,14:59
281,277,930,support,Message,false,2023-02-07,20:04
282,654,69,Open-source,Message,false,2023-10-13,14:16
283,205,806,Intuitive,Story,true,2024-01-28,20:52
284,34,882,Sharable,Message,true,2023-10-31,14:56
285,776,279,Phased,Story,true,2023-03-07,8:48
286,737,47,real-time,Message,true,2023-01-31,8:04
287,968,866,Function-based,Story,false,2023-10-04,13:44
288,34,286,intermediate,Story,false,2023-10-31,15:05
289,930,581,exuding,Story,true,2023-05-23,15:43
290,306,594,Profit-focused,Message,true,2023-01-08,15:57
291,141,215,maximized,Story,false,2023-10-24,7:35
292,2,843,monitoring,Message,false,2023-01-23,0:40
293,487,741,focus group,Story,true,2023-03-24,6:23
294,677,109,mission-critical,Message,false,2023-09-06,15:06
295,186,843,Optimized,Story,true,2023-11-17,23:47
296,138,46,array,Story,true,2023-10-30,0:38
297,51,530,adapter,Message,true,2023-04-09,19:15
298,299,646,Configurable,Message,false,2023-12-05,19:16
299,794,182,initiative,Message,true,2023-03-26,13:20
300,298,183,24 hour,Story,true,2023-08-18,5:23
301,685,223,algorithm,Message,false,2024-01-31,23:51
302,316,41,adapter,Message,true,2024-02-13,19:02
303,973,74,Exclusive,Story,false,2024-01-02,17:08
304,572,458,neutral,Story,true,2024-01-27,5:22
305,145,36,Programmable,Message,false,2023-04-08,2:36
306,323,211,optimizing,Story,true,2023-02-15,3:35
307,378,479,moratorium,Story,true,2023-06-18,22:02
308,681,359,Customer-focused,Story,true,2024-01-07,18:15
309,82,687,systematic,Story,false,2023-02-02,22:23
310,560,776,Enhanced,Message,false,2023-02-08,13:38
311,822,995,support,Message,true,2023-07-08,11:45
312,47,724,exuding,Message,false,2023-07-12,8:05
313,821,813,middleware,Message,false,2023-06-17,19:07
314,536,615,Proactive,Story,false,2023-08-23,19:10
315,792,173,cohesive,Story,true,2023-03-31,21:55
316,393,124,solution-oriented,Message,false,2023-05-20,13:28
317,593,830,Fully-configurable,Message,true,2023-01-18,5:43
318,300,316,Focused,Story,true,2023-01-18,6:47
319,457,148,forecast,Story,true,2023-06-19,21:55
320,11,492,intermediate,Story,false,2023-08-17,9:27
321,375,296,Stand-alone,Story,false,2023-04-01,14:50
322,507,802,internet solution,Message,false,2023-07-08,14:48
323,87,438,emulation,Story,true,2023-10-05,0:59
324,345,508,Multi-tiered,Story,false,2023-07-23,1:22
325,137,13,intangible,Story,true,2023-06-17,1:16
326,738,565,model,Message,false,2023-01-22,12:41
327,177,123,Function-based,Message,true,2023-09-01,16:39
328,777,155,superstructure,Story,false,2023-12-14,18:14
329,770,730,benchmark,Message,true,2023-12-15,1:35
330,484,912,non-volatile,Message,false,2024-01-17,7:31
331,257,213,knowledge base,Story,true,2023-07-10,1:22
332,73,704,6th generation,Story,true,2023-07-18,21:02
333,390,551,Implemented,Story,false,2023-05-27,14:57
334,182,277,Programmable,Story,true,2023-04-05,23:10
